name,description,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic
Spanish Mastiff,"The Spanish Mastiff is a large and powerful breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.",10,8,110,90,100,80,False
Spanish Water Dog,"The Spanish Water Dog is a medium-sized breed of dog that was originally bred in Spain for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.",14,12,22,17,22,17,False
Spinone Italiano,"The Spinone Italiano is a large breed of gun dog that originated in Italy. It is a powerful and athletic breed, with a thick, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Spinone Italiano is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",14,12,35,30,35,30,False
Stabyhoun,"The Stabyhoun is a small hunting breed that originated in the Netherlands. It is an intelligent and loyal breed that is friendly and eager to please. The Stabyhoun stands between 17-19 inches at the shoulder and has a medium-length coat that comes in black, white, and orange.",15,12,25,20,25,20,False
Staffordshire Bull Terrier,"The Staffordshire Bull Terrier is a small and powerful breed of dog that was originally bred in England for bull baiting. They are intelligent, loyal, and protective, and make excellent companion dogs.",14,12,17,11,17,11,False
Standard Schnauzer,"The Standard Schnauzer is a medium-sized German working dog. They are intelligent, active, and loyal, and make great family pets. Standard Schnauzers have a distinctive wiry coat that can be black, salt-and-pepper, or black-and-silver in color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.",15,12,22,18,22,18,True
Sussex Spaniel,"The Sussex Spaniel is a medium-sized breed of spaniel from the Sussex region of England. These dogs are medium in size, with a long and wavy coat of fur. They have a gentle and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",15,12,27,18,27,18,False
Swedish Lapphund,"The Swedish Lapphund is a medium-sized breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and energetic, and make excellent working dogs.",14,12,20,16,20,16,False
Swedish Vallhund,"The Swedish Vallhund is a small and energetic breed of dog that was originally bred in Sweden for herding and guarding livestock. They are intelligent, friendly, and playful, and make excellent working dogs.",15,12,16,13,16,13,False
Taiwan Dog,"The Taiwan Dog is a small and agile breed of dog that was originally bred in Taiwan for hunting small game. They are intelligent, alert, and energetic, and make excellent companion dogs.",15,12,15,10,15,10,False
Teddy Roosevelt Terrier,"The Teddy Roosevelt Terrier is a small breed of terrier that originated in the United States. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and powerful, and its tail is usually docked. The Teddy Roosevelt Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys being around its family.",15,12,11,7,11,7,False
Thai Ridgeback,The Thai Ridgeback is a medium-sized breed of dog that originated in Thailand. It is an active and intelligent breed that is loyal and devoted to its family. The Thai Ridgeback stands between 20-24 inches at the shoulder and has a short to medium-length coat that comes in various colors.,14,12,25,20,25,20,False
Tibetan Mastiff,"The Tibetan Mastiff is a powerful, muscular breed that is known for its courage, independence, and fierce loyalty. This breed is native to the Tibetan Plateau, where it was originally used to guard monasteries and protect flocks of sheep.",12,10,90,50,90,50,False
Tibetan Spaniel,"The Tibetan Spaniel is a small breed of spaniel from Tibet. These dogs are small in size, with a short and silky coat of fur. They have a cheerful and affectionate demeanor, making them excellent companion dogs. They are highly trainable and intelligent, with an instinct to protect their family and property. They are loyal and devoted to their family, but can be stubborn and independent at times.",16,14,7,5,7,5,False
Tibetan Terrier,"The Tibetan Terrier is a small and playful breed of dog that was originally bred in Tibet as a companion dog. They are intelligent, affectionate, and loyal, and make excellent family pets.",16,14,8,6,8,6,False
Tornjak,"The Tornjak is a large and powerful breed of dog that was originally bred in Croatia for herding livestock and guarding the home. They are intelligent, loyal, and protective, and make excellent guard dogs.",14,12,70,40,70,40,False
Tosa,"The Tosa is a large and powerful breed of dog that was originally bred for dog fighting in Japan. They are loyal and protective, and make excellent guard dogs.",12,8,80,50,80,50,False
Toy Fox Terrier,"The Toy Fox Terrier is a small and energetic breed of dog that was originally bred in the United States for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",16,14,3,1,3,1,False
Transylvanian Hound,"The Transylvanian Hound is a large and powerful breed of dog that was originally bred in Romania for hunting large game. They are intelligent, athletic, and determined, and make excellent hunting dogs.",14,12,30,20,30,20,False
Treeing Tennessee Brindle,"The Treeing Tennessee Brindle is a medium-sized breed of dog that was originally bred in the United States for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,30,15,30,15,False
Treeing Walker Coonhound,"The Treeing Walker Coonhound is a medium-sized hound breed that was developed by crossing the English and American Foxhounds. It is an active and energetic breed that is friendly, loyal, and intelligent. The Treeing Walker Coonhound stands between 22-27 inches at the shoulder and has a short to medium-length coat that comes in various colors and patterns.",14,12,30,20,30,20,False
Vizsla,"The Vizsla is a medium-sized breed of dog that was originally bred in Hungary for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",15,12,30,20,30,20,False
Volpino Italiano,"The Volpino Italiano is an Italian spitz-type breed that is closely related to the Pomeranian. They are a small and lively breed, with an alert and spirited personality. They are very loyal, loving, and affectionate, and make wonderful family pets. Volpinos are active and require plenty of exercise and walks, so they are well suited to active households. They have a thick, white double coat and can be prone to matting and tangling if not groomed properly.",15,12,6,4,6,4,False
Weimaraner,"The Weimaraner is a large, powerful breed with a short, thick coat. They have a long, elegant head with a deep muzzle and a strong jaw. Weimaraners are an intelligent, active breed with a friendly, loyal nature and are often used in agility, obedience, and hunting events.",14,12,30,25,30,25,False
Welsh Springer Spaniel,"The Welsh Springer Spaniel is a medium-sized breed of dog that originated in Wales. They have a short, dense coat, and come in a variety of colors. They are an active breed, and need plenty of exercise and mental stimulation. They are loyal and devoted to their owners, and make good family companions.",15,12,25,18,25,18,False
Welsh Terrier,"The Welsh Terrier is a small and energetic breed of dog that was originally bred in Wales for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,9,7,9,7,False
West Highland White Terrier,"The West Highland White Terrier is a small, energetic breed that is known for its intelligence, independence, and tenacity. This breed is native to the Scottish Highlands, where it was originally used to hunt small game and rodents.",15,12,7,5,7,5,False
Wetterhoun,"The Wetterhoun is a large, muscular dog breed with a thick, wavy coat that is typically black, brown, or fawn in color. They are known for their intelligence, loyalty, and strength, and were originally bred to hunt waterfowl in the Netherlands.",14,12,30,20,30,20,False
Whippet,"The Whippet is a medium-sized dog breed with a slender, athletic build and a short, smooth coat that is typically blue, red, or fawn in color. They are known for their speed, grace, and agility, and were originally bred to hunt small game, such as rabbits, by sight.",15,12,15,10,15,10,False
Wire Fox Terrier,"The Wire Fox Terrier is a small and energetic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.",15,12,7,6,7,6,False
Wirehaired Pointing Griffon,"The Wirehaired Pointing Griffon is a medium-sized breed of dog that was originally bred in Belgium for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.",14,12,27,18,27,18,False
Wirehaired Vizsla,"The Wirehaired Vizsla is a medium-sized breed of retrieving dog from Hungary. These dogs are medium in size, with a wiry coat of fur. They have a friendly and energetic demeanor, making them excellent working dogs. They are highly trainable and intelligent, with an instinct to retrieve game. They are loyal and devoted to their family, with an independent nature that makes them well suited for retrieving and guard work.",15,12,30,25,30,25,False
Working Kelpie,"The Working Kelpie is a medium-sized breed of herding dog that originated in Australia. It is an active and energetic breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Working Kelpie is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.",15,12,20,16,20,16,False
Xoloitzcuintli,"The Xoloitzcuintli, also known as the Mexican Hairless Dog, is a small and intelligent breed of dog that was originally bred in Mexico for hunting and guarding. They are loyal, alert, and affectionate, and make excellent companion dogs.",15,12,15,10,15,10,True
Yakutian Laika,"The Yakutian Laika is a medium-sized breed of dog that was originally bred in Siberia for hunting and guarding. They are intelligent, independent, and alert, and make excellent companion dogs.",15,12,30,18,30,18,False
Yorkshire Terrier,"The Yorkshire Terrier is a small, intelligent dog breed with a long, silky coat that is typically blue and tan in color. They are known for their feisty, independent nature and their affectionate personalities, and were originally bred to hunt rats and other vermin in the textile mills of Yorkshire, England.",15,12,3,2,3,2,False
